date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-11 10:42:56,pasionensevilla,,2,2,5,"Semana Santa en tiempo de coronavirus, vía J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550316468-20200411083643_galeria.html#imagen1 #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1248924487040581633,https://twitter.com/pasionensevilla/status/1248924487040581633
2020-04-11 10:26:22,ejhg_79,,0,0,4,"Nuestro particular homenaje a la semana santa 2020 de Sevilla: https://youtu.be/g9Hc_NKnJOA #SemanaSantaEnCasa #SemanaSanta2020 #YoMeQuedoEnCasa #coronavirus #confinamiento #pinypon",,,#SemanaSantaEnCasa #SemanaSanta2020 #YoMeQuedoEnCasa #YoMeQuedoEnCasa #coronavirus #confinamiento #pinypon,1248920319055859713,https://twitter.com/ejhg_79/status/1248920319055859713
2020-04-11 10:15:04,abcdesevilla,,0,1,1,"[Fotogalería ] Un proyecto fotográfico diferente sobre la Semana Mayor. Juan José Úbeda ofrece una Semana Santa sin procesiones en tiempos del coronavirus, una oda gráfica a la concienciación social que nada tiene que ver con las cofradías... o sí http://ow.ly/KoqN50zbwH3",,,,1248917475607150592,https://twitter.com/abcdesevilla/status/1248917475607150592
2020-04-11 07:32:33,JMGBautista,,0,0,2,"El milagroso Cristo Yacente @eliteradiosvq @elitediario @elitediarioc #SemanaSanta #SemanaSantaEnCasa #SemanaNoticias #SemanaSanta2020 #SemanaSantaSevilla #Sevilla #SevillaHoy #QuedateEnCasaYa #Coronavirus #Trinidad #Leyenda #Enigma #misterios #misterio",,@eliteradiosvq @elitediario @ElitediarioC,#SemanaSanta #SemanaSantaEnCasa #SemanaNoticias #SemanaSanta2020 #SemanaSantaSevilla #Sevilla #SevillaHoy #QuedateEnCasaYa #Coronavirus #Trinidad #Leyenda #Enigma #misterios #misterio,1248876578555207681,https://twitter.com/JMGBautista/status/1248876578555207681
2020-04-11 07:31:00,VocesdlMisterio,,0,0,1,"El milagroso Cristo Yacente @eliteradiosvq @elitediario @elitediarioc #SemanaSanta #SemanaSantaEnCasa #SemanaNoticias #SemanaSanta2020 #SemanaSantaSevilla #Sevilla #SevillaHoy #QuedateEnCasaYa #Coronavirus #Trinidad #Leyenda #Enigma #misterios #misterio https://elitediario.com/el-milagroso-cristo-yacente/",,@eliteradiosvq @elitediario @ElitediarioC,#SemanaSanta #SemanaSantaEnCasa #SemanaNoticias #SemanaSanta2020 #SemanaSantaSevilla #Sevilla #SevillaHoy #QuedateEnCasaYa #Coronavirus #Trinidad #Leyenda #Enigma #misterios #misterio,1248876188287680514,https://twitter.com/VocesdlMisterio/status/1248876188287680514
2020-04-11 07:14:43,juanjc64,altocapirote,0,0,2,"Creo que siempre nos da pena que acabe la semana santa, incluso la del coronavirus",,,,1248872089039273984,https://twitter.com/juanjc64/status/1248872089039273984
2020-04-11 03:27:51,PacoMelero4,,0,0,0,"Buenas dias SEMANA SANTA 2020 y Tu Casa y Coronavirus. SABADO SANTO. FESTIVOS. Nescafe Descafeinado y Leche Condensada. 05:30 ",,,,1248814994923323392,https://twitter.com/PacoMelero4/status/1248814994923323392
2020-04-11 01:41:25,PacoMelero4,,0,0,0,"Buenas dias SEMANA SANTA 2020 y Tu Casa y Coronavirus. SABADO. SANTA. el guardaespaldas. 1992. ",,,,1248788212694351874,https://twitter.com/PacoMelero4/status/1248788212694351874
2020-04-11 01:38:04,PacoMelero4,,0,0,0,"Buenas dias SEMANA SANTA 2020 y Tu Casa y Coronavirus. SABADO. SANTA. intocable. 2011. Sillas de Rueda ",,,,1248787369127485440,https://twitter.com/PacoMelero4/status/1248787369127485440
2020-04-10 17:36:44,DigitalSevilla,,7,56,90,"Calculan que no habrá vacuna para el coronavirus hasta septiembre de 2021. Señalan que hasta entonces no se podrán celebrar concentraciones masivas, lo que impediría celebrar también la Semana Santa del próximo año ",,,,1248666235916529669,https://twitter.com/DigitalSevilla/status/1248666235916529669
